Name,BSE Code,NSE Code,ISIN Code
Amber Enterp.,540902,AMBER,INE371P01015
Gillette India,507815,GILLETTE,INE322A01010
GE Shipping Co,500620,GESHIP,INE017A01032
Deepak Nitrite,506401,DEEPAKNTR,INE288B01029
Aegis Logistics,500003,AEGISLOG,INE208C01025
IRB Infra.Devl.,532947,IRB,INE821I01022
PTC Industries,539006,PTCIL,INE596F01018
Kirloskar Oil,533293,KIRLOSENG,INE146L01010
CESC,500084,CESC,INE486A01021
Sai Life,544306,SAILIFE,INE570L01029
Nexus Select,543913,NXST,INE0NDH25011
Apollo Tyres,500877,APOLLOTYRE,INE438A01022
Acutaas Chemical,543349,ACUTAAS,INE00FF01025
Sumitomo Chemi.,542920,SUMICHEM,INE258G01013
Tenneco Clean,544612,TENNIND,INE19RI01016
Piramal Pharma,543635,PPLPHARMA,INE0DK501011
KIOCL,540680,KIOCL,INE880L01014
Aegis Vopak Term,544407,AEGISVOPAK,INE0INX01018
Indraprastha Gas,532514,IGL,INE203G01027
Pfizer,500680,PFIZER,INE182A01018
Astrazeneca Phar,506820,ASTRAZEN,INE203A01020
R R Kabel,543981,RRKABEL,INE777K01022
Neuland Labs.,524558,NEULANDLAB,INE794A01010
The Ramco Cement,500260,RAMCOCEM,INE331A01037
Asahi India Glas,515030,ASAHIINDIA,INE439A01020
Netweb Technol.,543945,NETWEB,INE0NT901020
Kalpataru Proj.,522287,KPIL,INE220B01022
OneSource Speci.,544292,ONESOURCE,INE013P01021
HFCL,500183,HFCL,INE548A01028
Hatsun Agro,531531,HATSUN,INE473B01035
CreditAcc. Gram.,541770,CREDITACC,INE741K01010
MTAR Technologie,543270,MTARTECH,INE864I01014
HBL Engineering,517271,HBLENGINE,INE292B01021
Grindwell Norton,506076,GRINDWELL,INE536A01023
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010
Atul,500027,ATUL,INE100A01010
Kaynes Tech,543664,KAYNES,INE918Z01012
Sun TV Network,532733,SUNTV,INE424H01027
Carborundum Uni.,513375,CARBORUNIV,INE120A01034
G M D C,532181,GMDCLTD,INE131A01031
Affle 3i,542752,AFFLE,INE00WC01027
EIH,500840,EIHOTEL,INE230A01023
KPIT Technologi.,542651,KPITTECH,INE04I401011
Data Pattern,543428,DATAPATTNS,INE0IX101010
Craftsman Auto,543276,CRAFTSMAN,INE00LO01017
Natco Pharma,524816,NATCOPHARM,INE987B01026
Triveni Turbine,533655,TRITURBINE,INE152M01016
RBL Bank,540065,RBLBANK,INE976G01028
Cube Highways,543899,CUBEINVIT,INE0NR623014
TD Power Systems,533553,TDPOWERSYS,INE419M01027
Sterlite Tech.,532374,STLTECH,INE089C01029
Sagility,544282,SAGILITY,INE0W2G01015
IIFL Finance,532636,IIFL,INE530B01024
Bayer Crop Sci.,506285,BAYERCROP,INE462A01022
Godawari Power,532734,GPIL,INE177H01039
Cams Services,543232,CAMS,INE596I01020
IndiGrid Trust,540565,INDIGRID,INE219X23014
Prime Focus,532748,PFOCUS,INE367G01038
Syngene Intl.,539268,SYNGENE,INE398R01022
Emami,531162,EMAMILTD,INE548C01032
Syrma SGS Tech.,543573,SYRMA,INE0DYJ01015
Sarda Energy,504614,SARDAEN,INE385C01021
Granules India,532482,GRANULES,INE101D01020
Crompton Gr. Con,539876,CROMPTON,INE299U01018
Urban Company,544515,URBANCO,INE0CAZ01013
Tata Chemicals,500770,TATACHEM,INE092A01019
City Union Bank,532210,CUB,INE491A01021
Belrise Industri,544405,BELRISE,INE894V01022
ERIS Lifescience,540596,ERIS,INE406M01024
Chambal Fert.,500085,CHAMBLFERT,INE085A01013
Castrol India,500870,CASTROLIND,INE172A01027
Emmvee Photovol.,544608,EMMVEE,INE1C6T01020
Sundram Fasten.,500403,SUNDRMFAST,INE387A01021
Vardhman Textile,502986,VTL,INE825A01020
Ratnamani Metals,520111,RATNAMANI,INE703B01027
Capri Global,531595,CGCL,INE180C01042
CIE Automotive,532756,CIEINDIA,INE536H01010
Chalet Hotels,542399,CHALET,INE427F01016
Kansai Nerolac,500165,KANSAINER,INE531A01024
Anant Raj,515055,ANANTRAJ,INE242C01024
Avanti Feeds,512573,AVANTIFEED,INE871C01038
Redington,532805,REDINGTON,INE891D01026
Elgi Equipments,522074,ELGIEQUIP,INE285A01027
Pine Labs,544606,PINELABS,INE15B701018
ACME Solar Hold.,544283,ACMESOLAR,INE622W01025
Bharat Coking,544678,BHARATCOAL,INE05XR01022
Nava,513023,NAVA,INE725A01030
Firstsour.Solu.,532809,FSL,INE684F01012
DCM Shriram,523367,DCMSHRIRAM,INE499A01024
Aarti Industries,524208,AARTIIND,INE769A01020
Century Plyboard,532548,CENTURYPLY,INE348B01021
Bikaji Foods,543653,BIKAJI,INE00E101023
Kajaria Ceramics,500233,KAJARIACER,INE217B01036
Black Box,500463,BBOX,INE676A01027
Deepak Fertilis.,500645,DEEPAKFERT,INE501A01019
Pun. & Sind Bank,533295,PSB,INE608A01012
IFCI,500106,IFCI,INE039A01010
Inox Wind,539083,INOXWIND,INE066P01011
JSW Cement,544480,JSWCEMENT,INE718I01012
BASF India,500042,BASF,INE373A01013
Central Mine Pla,544739,CMPDI,INE05HV01027
Cohance Life,543064,COHANCE,INE03QK01018
N S D L,544467,,INE301O01023
Gallantt Ispat L,532726,GALLANTT,INE297H01019
Vertis Infra.,,VERTIS,INE0KXY23015
Rubicon Research,544578,RUBICON,INE506V01022
Brigade Enterpr.,532929,BRIGADE,INE791I01019
Zydus Wellness,531335,ZYDUSWELL,INE768C01028
Finolex Cables,500144,FINCABLES,INE235A01022
Ola Electric,544225,OLAELEC,INE0LXG01040
Jubilant Pharmo,530019,JUBLPHARMA,INE700A01033
Fractal Analyt.,544700,FRACTAL,INE212S01015
Sammaan Capital,535789,SAMMAANCAP,INE148I01020
S C I,523598,SCI,INE109A01011
Gabriel India,505714,GABRIEL,INE524A01029
LMW,500252,LMW,INE269B01029
Anupam Rasayan,543275,ANURAS,INE930P01018
Caplin Point Lab,524742,CAPLIPOINT,INE475E01026
Jyoti CNC Auto.,544081,JYOTICNC,INE980O01024
Cupid,530843,CUPID,INE509F01029
BEML Ltd,500048,BEML,INE258A01024
Guj.St.Petronet,532702,GSPL,INE246F01010
Amara Raja Ener.,500008,ARE&M,INE885A01032
Niva Bupa Health,544286,NIVABUPA,INE995S01015
Sansera Enginee.,543358,SANSERA,INE953O01021
Cemindia Project,509496,CEMPRO,INE686A01026
Ventive Hospital,544321,VENTIVE,INE781S01027
Sobha,532784,SOBHA,INE671H01015
Allied Blenders,544203,ABDL,INE552Z01027
Alembic Pharma,533573,APLLTD,INE901L01018
Poly Medicure,531768,POLYMED,INE205C01021
JBM Auto,532605,JBMA,INE927D01051
Devyani Intl.,543330,DEVYANI,INE872J01023
C P C L,500110,CHENNPETRO,INE178A01016
J & K Bank,532209,J&KBANK,INE168A01041
Choice Intl.,531358,CHOICEIN,INE102B01014
Shriram Pistons,544344,SHRIPISTON,INE526E01018
Graphite India,509488,GRAPHITE,INE371A01025
eClerx Services,532927,ECLERX,INE738I01010
KSB,500249,KSB,INE999A01023
CCL Products,519600,CCL,INE421D01022
Aether Industri.,543534,AETHER,INE0BWX01014
Dr Agarwal's Hea,544350,AGARWALEYE,INE943P01029
International Ge,544311,IGIL,INE0Q9301021
Clean Max Enviro,544717,CLEANMAX,INE647U01026
L T Foods,532783,LTFOODS,INE818H01020
Usha Martin,517146,USHAMART,INE228A01035
Jindal Saw,500378,JINDALSAW,INE324A01032
KFin Technolog.,543720,KFINTECH,INE138Y01010
A B Real Estate,500040,ABREL,INE055A01016
Zen Technologies,533339,ZENTEC,INE251B01027
JSW Holdings,532642,JSWHL,INE824G01012
EID Parry,500125,EIDPARRY,INE126A01031
DOMS Industries,544045,DOMS,INE321T01012
Fine Organic,541557,FINEORG,INE686Y01026
Travel Food,544443,TRAVELFOOD,INE103V01028
Ingersoll-Rand,500210,INGERRAND,INE177A01018
Techno Elec.Engg,542141,TECHNOE,INE285K01026
Engineers India,532178,ENGINERSIN,INE510A01028
Vinati Organics,524200,VINATIORGA,INE410B01037
Rainbow Child.,543524,RAINBOW,INE961O01016
V-Guard Industri,532953,VGUARD,INE951I01027
Leela Palaces Hotels,544408,THELEELA,INE0AQ201015
Welspun Living,514162,WELSPUNLIV,INE192B01031
Five-Star Bus.Fi,543663,FIVESTAR,INE128S01021
Vijaya Diagnost.,543350,VIJAYA,INE043W01024
JSW Dulux,500710,JSWDULUX,INE133A01011
Jain Resource,544537,JAINREC,INE0YD401026
PG Electroplast,533581,PGEL,INE457L01029
Supreme Petroch.,500405,SPLPETRO,INE663A01033
Ircon Intl.,541956,IRCON,INE962Y01021
Aequs,544634,AEQUS,INE947N01017
Mah. Scooters,500266,MAHSCOOTER,INE288A01013
Canara HSBC,544583,CANHLIFE,INE01TY01017
Alivus Life,543322,ALIVUS,INE03Q201024
Inox India,544046,INOXINDIA,INE616N01034
Happy Forgings,544057,HAPPYFORGE,INE330T01021
JP Power Ven.,532627,JPPOWER,INE351F01018
Garware Hi Tech,500655,GRWRHITECH,INE291A01017
RRPSemiconductor,504346,,INE713N01013
Paradeep Phosph.,543530,PARADEEP,INE088F01024
Kirl. Brothers,500241,KIRLOSBROS,INE732A01036
TBO Tek,544174,TBOTEK,INE673O01025
CEAT,500878,CEATLTD,INE482A01020
